filename,date,paragraph,matched_words
11_16_2021_buffalo_meeting_minutes.mp3.bd4d1653-159b-44d0-8bbc-506ebd846b06.Transcript.txt,11_16_2021,This is tomorrow at 6 p.m. At the delegate right. So I'm hoping that everyone who's watching will attend because this is a major development that will bring more affordable housing here to the city of Buffalo and we really would like everyone's input. We have been in communication with the developers and they seem to be very very excited and knowledgeable at the same time about what they're trying to do here.,affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,"Now, some would say that's a bad problem. I say it's a part of a growing city, but government still should look, I believe, at how and what tools do we have in order to either incentivize businesses  rent stabilization in some way, encourage it, continue. We know that the administration has been pushing affordable housing.",affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,um but we also want to make sure we have some professionals if you know of who might may really help us I in this task force and move for council member why thank you share wanna thank you for your leadership on this I think it's something that's very timely and very important matter fact I'm gonna be having a meeting with a group of folks  who worked with Joel regarding inclusionary zoning as well as affordable housing. I think that people want to see their elected officials doing something about their plight. And many of them are in situations that they can't help themselves.,affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,They should be able to benefit too. So I think this is a timely task force. I'm looking forward to working with the individuals that come with some new ideas to help balance this thing out because we do want developers to come and develop affordable housing and make sure that everyone benefits.,affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,"They all include workforce housing or affordable housing. And one of my greatest concerns has been all of the new development that was coming downtown, much of it was market rate. And so you would not have that inclusion and that diversity.",affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,There is money to be made. There is a niche with affordable housing. There's a niche with market rate.,affordable housing
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"We have a special presentation from Councilwoman Everhart. Good afternoon everyone. So this month, November, is National Homelessness and Hunger Awareness Month.",homelessness
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"And so I know quite a few people who work in this space. And so I wanted to make sure that we recognize the work that these organizations do in our community to keep people housed and off the street, um, A lot of people deal with homelessness on a lot of different levels, right? People get evicted, people lose their jobs, and we have safe havens in the community who make sure that them and their families are taken care of.",homelessness
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"So I'm going to read a little bit of this because she's deserving. Thank you. Whereas, Luann Firestone, an Executive Director of Family Promise of Western New York, has led the organization with profound dedication, ensuring that families facing homelessness in Buffalo stay united, supported, and empowered during times of crisis.",homelessness
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"Under Luann's compassionate leadership, Family Promise stands as one of the few shelters in Erie County that offers a safe and inclusive refuge for entire families, addressing the unique needs of each family member, especially the children who make up 75% of its guests. She has championed efforts to make... Family Promise, a fully ADA accessible facility that provides essential services to neurodivergent children, larger families, and those with specific dietary needs, creating a supportive and welcoming space for all. Now, therefore, the Common Council of the City of Buffalo proudly honors and celebrates Luann Firestone for her exceptional leadership at Family Promise of West New York, recognizing her inspiring impact on the community and her tireless dedication in observance of National Homeless Awareness Month.",homeless
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"So it's very working with the homeless population, with families experiencing homelessness is a lot each and every day. You know, but we do it with love and compassion, and we're there to serve the community. We're actually trying to build a second shelter because family homelessness is really escalating right now, and there's not enough space and shelter to house families.",homeless; homelessness
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"Whereas Compass House was founded in 1972 as a homeless shelter, today they operate an emergency shelter, a resource center, and a rapid rehousing program. Their mission is to provide runaway homeless and street youth with safe shelter and services in an environment that supports dignity, respect, and self-reliance. Lisa Freeman has been the Executive Director of Compass House since 2011, and this year marks Ms. Freeman's 36th year of service at the agency, having previously served as Compass House's Assistant Executive Director.",homeless
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"You're very welcome. I just want to thank the City of Buffalo in general. I mean, we've been in existence for 52 years, and I believe the City of Buffalo and all of you wonderful people here have always supported Compass House and all of our programs, and I just thank all of you for helping the runaway and homeless youth of Erie County.",homeless
09_15_2020_buffalo_meeting_minutes.mp3.81dbe770-9943-41b7-80a5-d867555d3983.Transcript.txt,09_15_2020,"Thank you Mr. Chair. and of course uh yvonne if it wasn't for yvonne a lot of people would not have affordable housing and it wouldn't be generated within our community um because yvonne works very hard with community groups so we're praying for her hearing another we continue to remember um  the men and women who may have given their life for the freedom of our country and others since our last meeting, and all of the names that have been called, we pause for a moment of silence. Thank you.",affordable housing
12_12_2023_buffalo_meeting_minutes.mp3.965ead0f-2440-4b37-a631-d33981c2b0b8.Transcript.txt,12_12_2023,"Family Promise of Western New York has demonstrated unwavering dedication to supporting families experiencing homelessness, which we know is a big problem in our city. I remember meeting with one of the foundations about the tremendous amount of homelessness we have. And someone said to me, well I don't see them under the bridges.",homelessness
12_12_2023_buffalo_meeting_minutes.mp3.965ead0f-2440-4b37-a631-d33981c2b0b8.Transcript.txt,12_12_2023,"because they did not understand that homelessness is not only about people under bridges, but those who have to move back home, those who are couch surfing, those who are in shelters, and your organization has been on the forefront. And this just briefly says in collaboration with partners, Family Promise of Western New York seeks to create a community that envelops, homeless children and their families in hope. That they are committed to a personal and family focused approach, recognizing the inherent dignity and worth of every single individual.",homeless; homelessness
12_12_2023_buffalo_meeting_minutes.mp3.965ead0f-2440-4b37-a631-d33981c2b0b8.Transcript.txt,12_12_2023,"Champions of the principles of self-determination, building trust, fostering a goal-oriented environment for families striving to overcome homelessness. And whereas through your organization's tireless efforts helps families find their way back home. providing essential support during challenging times.",homelessness
12_12_2023_buffalo_meeting_minutes.mp3.965ead0f-2440-4b37-a631-d33981c2b0b8.Transcript.txt,12_12_2023,"And therefore, be it resolved by all of the members of the Common Council, let it be proclaimed that the Buffalo Common Council hereby honors and celebrates family promise of Western New York for your commitment to building a compassionate community and supporting homeless children and their families with hope, personal focus, self-determination, and goal-oriented initiatives. Thank you for what you do and all of your staff does for all of us in the city of Buffalo. My gosh, wow.",homeless
12_12_2023_buffalo_meeting_minutes.mp3.965ead0f-2440-4b37-a631-d33981c2b0b8.Transcript.txt,12_12_2023,"And you go to work and you put your head down and you sweat and you bleed and you cry and you just try to get families home again. Family homelessness is about 35% of homelessness all over the place. And right now we don't have enough shelters and so your support, your recognition is so important for us to be able to continue the work that we do and to get the message across.",homelessness
11_14_2023_buffalo_meeting_minutes.mp3.71b9acdc-52f6-439e-b072-6e39edf04330.Transcript.txt,11_14_2023,"Miscellaneous item number 66, affordable housing task force November 2023 report. Motion to send to legislation. Senate legislation seconded by Council Member Wingo.",affordable housing
11_14_2023_buffalo_meeting_minutes.mp3.71b9acdc-52f6-439e-b072-6e39edf04330.Transcript.txt,11_14_2023,"On this item, and just so the public knows, this is a rather detailed, well at least the first report of the affordable housing task force. If you haven't had a chance to look at it, it is full of ideas to help with affordable housing and to help with the rising costs legislatively, which is very important. This committee that is made up of community members, made up of activists, made up of residents, is working very hard.",affordable housing
11_14_2023_buffalo_meeting_minutes.mp3.71b9acdc-52f6-439e-b072-6e39edf04330.Transcript.txt,11_14_2023,"That way some things that corporation council needs to look at, other things our state legislature might need to look at, can stay on the table as long as you all who will be. at least still here, will be able to look at and take down the road. We have heard from our residents for a decade, at least a decade, about the problem with affordable housing.",affordable housing
11_14_2023_buffalo_meeting_minutes.mp3.71b9acdc-52f6-439e-b072-6e39edf04330.Transcript.txt,11_14_2023,"And I want to thank this council for supporting the Affordable Housing Task Force. We'll hear the complaints, but we probably won't hear all of the, at least something, something is being done more than talk. but real legislation.",affordable housing
11_14_2023_buffalo_meeting_minutes.mp3.71b9acdc-52f6-439e-b072-6e39edf04330.Transcript.txt,11_14_2023,"I got a chance to look through it, and exactly what you said is great recommendations. And some of the things that we have said as council members as far as increasing fees and fines using the rental registry great recommendation so again i commend that committee what they brought forth and look forward to working with the task force and making those things a reality because some of it is common sense and it's it is great that some independent folks brought it forth people who are from the community in hopes that we can get this done because we know that affordable housing is a challenge good affordable housing is a challenge",affordable housing
11_01_2016_buffalo_meeting_minutes.mp3.588deb25-7626-4abc-a768-6ddd3139b314.Transcript.txt,11_01_2016,"And the more I think about this, how important this is to have inclusionary zoning where when you're building residents, residential units to make sure that people can afford, at least a portion of them should be some affordable housing. Because I think what we're doing, what we hear right now is in certain areas you have subsidized housing and you have a lot of that. You know, we do a lot of ribbon cutting for housing that is for low income in certain areas.",affordable housing
10_15_2024_buffalo_meeting_minutes.mp3.ab02f889-7eba-418f-a979-9792fe6cf4af.Transcript.txt,10_15_2024,"where he led major projects that improve city parks, playgrounds, and public spaces. In his role as project manager for the Mayor's Office of Strategic Planning, Mr. Guzman oversaw transformative housing projects such as Sycamore Village Subdivision, and the Fruitbelt Homeownership Project, and the Fruitbelt Homeownership Project, creating affordable housing and revitalizing Buffalo communities. His current role is Deputy Commissioner of Department of Public Works.",affordable housing
10_15_2024_buffalo_meeting_minutes.mp3.ab02f889-7eba-418f-a979-9792fe6cf4af.Transcript.txt,10_15_2024,"Miscellaneous, item number 55, affordable housing task force, October 2024 recommendations. Motion to send this community development. Seconded by Council Member Rivera.",affordable housing
10_31_2017_buffalo_meeting_minutes.mp3.3def783b-c6db-47e4-84f9-690f742494fb.Transcript.txt,10_31_2017,"Item 33, request to speak affordable housing editorial. Motion to send the legislation, items 33 and 34. Second by Council Member Wingo.",affordable housing
10_02_2018_buffalo_meeting_minutes.mp3.f04ded76-aef8-460a-a130-9e6905c701cd.Transcript.txt,10_02_2018,"Item 13 no supplements temporary provisional permanent receiving five Take my counselor Fontana Finance Committee item 14 letter from PBA president Evans I 14 and 15 if there's no objections at this point now motion to refer to the police oversight committee It's like my council members gather me development committee item 16 reporter sale for our Wade Adams motion to approve item 16 and 17 second by council member friends at and on this item item 17 marks a The second land trust in the City of Buffalo, the first one was actually, well the ones that we know of, was in the Fillmore District under Councilmember Franczak. But for the Fruitbelt, this is significant in that an area that is experiencing gentrification will now have, see the first land trust in our known history where there will be affordable housing there.",affordable housing
10_02_2018_buffalo_meeting_minutes.mp3.f04ded76-aef8-460a-a130-9e6905c701cd.Transcript.txt,10_02_2018,"I 100% am in for not only these lots, but hopefully when this land trust gets rolling, There will be more lots in an area so that you can have market rate housing and affordable housing and work class housing and doctors walk into the medical campus. Also with the custodian maybe living next door, children going to school together. This is what we talk about when we talk about One Buffalo.",affordable housing
10_17_2023_buffalo_meeting_minutes.mp3.3f3cfe32-7dae-4d4f-9baf-227d66557e69.Transcript.txt,10_17_2023,"For the following condition following the completion of all phases of development There shall be no fewer than 616 units of affordable housing on the site currently known as 90 and 100 Erie Street. I Thank you, sir. For the record.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"Go ahead, sit down. My name is Harry Stinson, and I'm here as a developer currently working on the Buffalo Central Terminal. I support the need for affordable housing, and I understand the need for affordable housing, particularly in the east side.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"We just have a suggestion because for the affordable housing to actually be built, it also needs to be affordable on the builder's side as well. All I'm going to suggest is that, and we've brought examples here, by the way, of affordable housing that is family-oriented with multiple bedrooms that we can build that would actually fall below the standards that have been suggested in terms of square footage, minimum lot size, depth, et cetera. So all we're suggesting is to set aside the mathematical limitations  interpretation of what affordable housing is from a proportion and allow it to be built, allow the developers and the builders to create it.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"at Elmwood and Delavan simply because it reminds us of the type of character and of the mixture of the neighborhood that we are. There is a lot of affordable housing in the Elmwood Village and a lot of it could be torn down if the present plans that we see that have been proposed by both Ciminelli and Chasen, they want to tear down affordable housing. We support affordable housing.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"The Elmwood Village Group supports affordable housing. We think there should be a separate ordinance passed by this good body that defines what affordable housing is throughout the city, including the Elmwood Village. We would ask though that that be a separate issue, maybe a resolution passed by the council saying within six to eight months we will have inclusionary, we will determine what affordable housing is and how it should be done.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,There's talks about providing affordable housing and prevention of demolition. The thing about a zoning code is that it can't be a brush to fix all issues. I urge that the council adopts  plan that speaks to the heart of what it was envisioned.,affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"My name is Jennifer Kaminsky. I'm the Director of Planning and Community Development at Push Buffalo. We are, among many other things, an affordable housing developer.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"So we see every day the crisis of affordable housing in this city. Our waiting list for the affordable apartments we develop at this point is close to 400 households. And every day people are coming in, filling out applications, wondering what their status is, and telling stories about their being displaced from their neighborhoods.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"So we strongly support inclusionary zoning within the Green Code, and we hope that the final version of the Green Code includes an inclusionary zoning provision. Just to give you an example, the median income of a renter in Buffalo is around $22,000. So if you use the standard affordable housing definition of paying no more than 30% of your income in rent, that's a rent of around $600.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"The new development that we're seeing across Buffalo, and we're in support of new development, but much of that new development is luxury housing with rents of $1,200, $1,800, $2,500. That is not affordable to the vast majority of this city, and in addition, that new development  leads to increases of rents and home prices in the surrounding area, again, furthering displacement and lack of affordable housing in this city. So inclusionary zoning directly goes to mitigating the impact of new development, and we hope it is included in the Green Code so that the new Buffalo is an equitable city and provides opportunities for all of us who live here.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,I also support inclusionary zoning. I think we need to be creative in order to ensure that there's affordable housing in our city. I don't think this is appropriate probably for the Green Code.,affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"Secondly, affordable housing. I think Buffalo has a chance, and I don't know how this relates to the Green Code, but to get away from a city in which people, because they don't have enough money, are constantly pushed from one area to another, you know, into Buffalo because people are moving out of Buffalo into Chihuahua and then back into the suburbs because now people are moving into Buffalo. We need to get away from that.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"What are we going to do about making more affordable housing? She was crying literally that she had nowhere to go with five kids. We need to step up and actually build more affordable housing, inclusionary zoning, so that people can actually have a place to live that is actually nice.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,PUSH can't create the amount of affordable housing that we need. We actually are trying with School 77 doing solar panels and trying to invest into our city. But this should be happening throughout the whole entire city.,affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"And there needs to be more affordable housing. That 30% should be mandatory if anybody develops. Andrew Graham, Paul McDonald.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"I think our city government has a great opportunity to make a very progressive move in adding inclusionary zoning to the green code. What it will do is secure affordable housing for the people who live in this city. I want to give a shout out to my council person, Darius Pridgen, who has taken the information that we've provided  and has seriously considered how this could benefit our community.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"It's green only in the sense that it addresses density and walkability, but even there, state-funded, developer-driven density without affordable housing is the exact same thing as the builder and car-centric driven density. suburban development that our planners demonized today. So what's the difference?",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"But since we are not LA or Boston or San Francisco, we don't have to think about or worry about that yet. Further, when asked if he could name a fair price for affordable housing in the city, he didn't have an answer. Secondly, I'd like to, in a meeting in Allentown, Chris Holley made a statement that during the 1950s we saw some of the most vibrant communities in American history.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"And also, are they building these developments that would include affordable housing? Okay, that's another thing that we got to look at and we're saying in the community should be about 30% of The residents there should be low income residents. Okay.",affordable housing
11_14_2016_buffalo_meeting_minutes.mp3.46e68250-6c19-4b51-a7f2-5a0fb2000327.Transcript.txt,11_14_2016,"First of all, I have worked for HUD. I was a fellow for the New York State Association for Affordable Housing, and I have a startup whose application to the IRS is pending in order to provide affordable housing. I'd just like to make one thing clear.",affordable housing
10_31_2023_buffalo_meeting_minutes.mp3.8013ab79-3319-41d6-9146-c68195fa9996.Transcript.txt,10_31_2023,So what we have here and and the question that was asked to me at a community meeting was this is a residential neighborhood Where are the residents? so we know that through the Department of permits and inspections who has an application to go through all the listings on Airbnb and then a Go back to their records to see which ones are verified and which ones are registered with the city There are potentially almost two thousand unregistered Non owner occupied rentals in my district and so anybody on this Common Council that fights for affordable housing,affordable housing
12_12_2019_buffalo_meeting_minutes.mp3.ade83881-cde4-4fba-82f6-45e4041c8ba4.Transcript.txt,12_12_2019,These changes from the original application include and I want to read this because I want people to know exactly what some of the benefits are that we have not mentioned up to this point. One prohibiting front yard parking. Greater setback protections for neighborhood properties to ensure that any new buildings are not towering over adjacent neighbors Most importantly the revised PUD includes standards for affordable housing and green space Thankfully the current developer has agreed to providing affordable housing and green space but by including this standards in the PUD This ensures that those standards are written into law and will need to be complied with regardless of who owns the property.,affordable housing
12_12_2019_buffalo_meeting_minutes.mp3.ade83881-cde4-4fba-82f6-45e4041c8ba4.Transcript.txt,12_12_2019,"Because this project will be going to New York State affordable housing tax credits, they must receive all city approvals before Friday, before tomorrow, when their application is due to the state. That is why we need to call a special session today to reconsider this item immediately. And people would ask, well, why are you doing it immediately?",affordable housing
12_12_2019_buffalo_meeting_minutes.mp3.ade83881-cde4-4fba-82f6-45e4041c8ba4.Transcript.txt,12_12_2019,"Thank you, sir Just one question you talked about the affordable housing it will regardless of who with this move regardless of who owns it that that stays that's that's correct regardless of who owns the property we put it into the law that it will remain the same with green space we want to make sure that this green space is permanent that another developer comes and says we're going to build on the green space they can't do it we included those safeguards because the community wanted it and that's why we have the amendments all right thank you very much motion to adjourn second by councilman fronten yeah we approved as amended",affordable housing
12_26_2023_buffalo_meeting_minutes.mp3.d7b7b88b-d05b-49ab-937f-8d64676fa826.Transcript.txt,12_26_2023,"It's your ability to influence others to take action. He has demonstrated compassion for his community, for those that are least fortunate. He has fought for affordable housing.",affordable housing
11_03_2021_buffalo_meeting_minutes.mp3.752e1b87-f922-4d8e-b1ac-5cc577206a15.Transcript.txt,11_03_2021,"And people who needed affordable housing, I know I'm a Perry boy, so I'm a little in a different spot. When they begged for that place to be redone, and now it's like, let's find the money to put a stadium there. Not saying I'm for it or against it, it is Councilmember Nowakowski's district, and I would yield to however he felt with still wearing my Perry hat.",affordable housing
11_03_2021_buffalo_meeting_minutes.mp3.752e1b87-f922-4d8e-b1ac-5cc577206a15.Transcript.txt,11_03_2021,Or else people who need affordable housing in that area that's there will be just put out. councilman milkovsky yeah,affordable housing
11_26_2019_buffalo_meeting_minutes.mp3.6a5ca8f5-65e8-4b75-8b23-ee06a24d00ce.Transcript.txt,11_26_2019,"And the thinking is what are we gonna do with this large building, just sit and deteriorate? But with the Matt Urban Center and partnership with a number of other developments, Crossroads Group, got together and decided there's going to be over 76 apartments in there. There's 20 apartments for the homeless.",homeless
12_12_2017_buffalo_meeting_minutes.mp3.f455ea0b-007c-4b21-ad27-5eed2027aedc.Transcript.txt,12_12_2017,"Next item, anybody else? Next item. Item number 45, affordable housing strategies for the city of Buffalo.",affordable housing
12_13_2016_buffalo_meeting_minutes.mp3.628e6a16-f0bc-4ab6-bec3-9636bebb4aa0.Transcript.txt,12_13_2016,"And thank you, Mr. Chair. I want to just speak on this just briefly because I think that, you know, we're having some issues and we're talking about inclusionary zoning and affordable housing, and we just happen to be doing some research, you and I, and some other folks regarding this purpose-built community. And I think, you know, when we talk about changing our neighborhood, some of us think that it's just a building.",affordable housing
12_13_2016_buffalo_meeting_minutes.mp3.628e6a16-f0bc-4ab6-bec3-9636bebb4aa0.Transcript.txt,12_13_2016,"And we're going to continue to do the research and we're talking about the task force, the affordable rents task force and affordable housing task force. Those things, I think, once we really get into that process,  Really, we're trying to turn Buffalo around in which we do things on purpose and not by accident. Thank you, Mr. Chair.",affordable housing
01_16_2018_buffalo_meeting_minutes.mp3.4fbbcbec-f93c-406a-b738-fa414878612c.Transcript.txt,01_16_2018,"Just Resisting is a black and people of color community organization that â€“ is composed of you folks from the community also art um artistically inclined people that are trying to incorporate the social justice movement what we are here to ask for is for the one percent participatory for participatory budget um of our city's 500 million budget we already know that about 28 percent has been going to the police and if Over the past several years that is about an inch for every dollar that the city budget has gotten The police budget has increased by two that that is unacceptable and this past year to up to Unarmed men have been killed by police instead of and it's not right instead of finding these killer instead of funding these killer cops and We are calling for the money to be used for actual needs of the community, such as creating shelters for the LGBTQ homeless youth, renovating community centers and making them Wi-Fi accessible hubs for the community, creating more community cooperatives, such as urban firing, community food cooperatives for food deserts that exist on the east and west side, an arts and culture cooperative, and child care collective. I'm going to touch base with... She touched it.",homeless
01_16_2018_buffalo_meeting_minutes.mp3.4fbbcbec-f93c-406a-b738-fa414878612c.Transcript.txt,01_16_2018,"I'm going to touch base with them very quickly. As far as the housing for homeless youth, here in Buffalo we have a large population of runaway teenagers. I don't have to go too deep into that, we know.",homeless
01_16_2018_buffalo_meeting_minutes.mp3.4fbbcbec-f93c-406a-b738-fa414878612c.Transcript.txt,01_16_2018,12 families could be housed there. affordable housing on the east side. They build up the canal side and they're all happy about it,affordable housing
