created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text
2024-12-29T21:56:31.000Z,next to the capital of Chicago,,,,False,@VirgisViews @TheBlackestJ @mvinwst [ORGANIZATION] @mamasathome_ @AtlasVerge @eternalcumslime I was elected to my city council &amp; the only CITY EMPLOYEE who volunteered at our shelter. I worked with [ORGANIZATION] gov because they ENDED homelessness. 1 of a couple cities in [PERSON] to do so. Rehabs &amp; mental break facilities are tax funded private corps that don't address homelessness
2024-12-28T12:58:00.000Z,"Illinois, USA",,,,False,@BobbyReader2 You should see downtown [ORGANIZATION]. Oh boy. You got the trap store ([ORGANIZATION]) across the [STREET] from the jail/[STREET] houses. The [INSTITUTION] is on the next block. They are selling right there on the [STREET].
2024-12-27T11:25:12.000Z,St Charles,,,,False,"Perhaps where homeless, illegals, homicide freedom cause [ORGANIZATION] loss. [PERSON] GPE2 [PERSON] GPE7 [PERSON] GPE12 GPE13 GPE14 GPE15 GPE16 GPE17 #bansoffourbodies GPE18 GPE19 GPE20 GPE21 [PERSON]"
2024-12-26T04:33:15.000Z,We Are Everywhere,,,,False,@elonmusk [URL] plz help our homeless if you can.
2024-12-24T00:34:23.000Z,,,,,False,"[ORGANIZATION] should do SOMETHING with [ORGANIZATION]. [ORGANIZATION]. Vacation. [PERSON]. Come to PERSON1 moment on a remote island.
Bootcamp in [PERSON]. SOMETHING. I get not wanting him on the ice but what a waste of everything to make him homeless."
2024-12-22T23:19:28.000Z,"Austin, TX",,,,False,"@rockford_pi @TylerBoliver They tried it but stopped, I believe. They have had some success in reducing homelessness but [ORGANIZATION] isn’t why. They also have some challenges."
2024-12-21T05:05:04.000Z,"Rockford, IL",,,,False,“These people are just like everyone else and they deserve to be remembered.” [URL]
2024-12-20T17:48:53.000Z,"New Jersey, USA",,,,True,"[ORGANIZATION]: I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the communit…"
2024-12-20T16:01:14.000Z,"Rockford, IL",,,,False,[ORGANIZATION] seeks funds to assist growing homeless population in [ORGANIZATION]. [URL]
2024-12-19T22:37:35.000Z,"Rockford, Illinois",,,,False,[ORGANIZATION] seeks financial support to care for the homeless [URL] [URL]
2024-12-15T03:22:03.000Z,,,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-12T12:29:31.000Z,"Rockford, IL",,,,False,"[ORGANIZATION] for the Homeless in [ORGANIZATION] to honor those who passed away, highlighting [ORGANIZATION] Memorial Day. [URL]"
2024-12-11T22:26:39.000Z,"Illinois, USA",,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:26:27.000Z,"Rockford, IL",,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:26:25.000Z,Illinois,,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:26:10.000Z,Springfield,,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:25:58.000Z,Illinois,,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:19:12.000Z,"Rockford, Illinois",,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL] [URL]"
2024-12-10T07:03:59.000Z,Janesville and Platteville WI,,,,True,"[ORGANIZATION]: I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the communit…"
2024-12-09T16:12:11.000Z,"Des Plaines, IL USA",,,,False,"Thank you, [ORGANIZATION] in [ORGANIZATION], for bringing the cheer to our residents at [ORGANIZATION] in [PERSON] with the donation of these festive wreaths and door decorations. [URL] [URL]"
2024-12-09T13:02:41.000Z,,,,,True,"[ORGANIZATION]: I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the communit…"
2024-12-07T19:14:47.000Z,"Rockford, IL",,,,False,"I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the community. My mom put together a group and we were in downtown [ORGANIZATION] putting out warm gear for the homeless. Have DATE2 and so excited to play again DATE3! [URL]"
2024-12-06T03:48:32.000Z,"Chicago, IL",,,,True,"[PERSON]: As warming centers protect those without a stable shelter, there is one big challenge: reduced capacity.  [URL]"
2024-12-06T03:30:11.000Z,"Rockford, IL",,,,False,"As warming centers protect those without a stable shelter, there is one big challenge: reduced capacity.  [URL]"
2024-11-29T18:48:49.000Z,Killaloe Co. Clare 🇮🇪,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-29T08:26:23.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-21T23:58:24.000Z,earth,,,,False,"[ORGANIZATION] Have you seen the streets in [ORGANIZATION], GPE1,GPE2 and [PERSON]? Crime is rampant and streets filled with homeless and illegals. Shame on you!!!!"
2024-11-21T22:08:42.000Z,,,,,False,"PERSON0 Oh, why not.. [ORGANIZATION],  or [PERSON]? You know if you go to [ORGANIZATION] you can see live homeless Americans just walking up and down FAC0."
2024-11-21T16:00:01.000Z,"Rockford, IL",,,,False,"ICYMI: [ORGANIZATION] stands by as dozens of those in need walk through Miss [PERSON] on [ORGANIZATION] [TIME]. Volunteers for the charity gather sack lunches, blankets, gloves and more without questions for the mostly homeless men and women entering. [URL]"
2024-11-20T14:27:35.000Z,Rockford 8️⃣1️⃣5️⃣,,,,True,RT @RRCurrent: A new proposal sets out to create affordable housing for veterans — ranging from studio apartments at this old bank site to…
2024-11-20T14:25:43.000Z,"Rockford, IL",,,,False,"A new proposal sets out to create affordable housing for veterans — ranging from studio apartments at this old bank site to townhomes on vacant land — at nine locations in the area. 

[URL]"
2024-11-20T09:16:54.000Z,Illinois,,,,False,"[ORGANIZATION] non-profit that supports the homeless could shut down 
Source: [URL] WTVO WQRF [URL]"
2024-11-20T06:47:14.000Z,"Wisconsin, USA",,,,False,[ORGANIZATION] non-profit that supports the homeless could shut down GPE1GPE2  [URL]
2024-11-19T00:35:21.000Z,"Èire, Dublin, Kildare, EU",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-18T18:00:07.000Z,"Rockford, IL",,,,False,The $45 million project hopes to solve part of [ORGANIZATION]'s housing crisis. [URL]
2024-11-17T18:32:57.000Z,"Cork, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-17T11:39:35.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-17T10:44:07.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-17T09:34:38.000Z,"Mayo, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-17T07:31:47.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T17:23:13.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T14:35:04.000Z,UK. London,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T13:47:17.000Z,"Cork City, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T13:33:26.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T10:45:03.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T09:42:56.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T08:05:41.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T07:35:51.000Z,"Sligo, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T04:58:01.000Z,"Galway, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T02:18:07.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T01:53:57.000Z,"Galway, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T01:09:46.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-16T00:59:26.000Z,Ireland,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T23:33:08.000Z,Ireland,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T23:16:18.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T23:10:20.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T22:57:34.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T22:25:54.000Z,Ireland,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T21:58:52.000Z,Dublin,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T21:46:00.000Z,"Blackrock, Dublin, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T21:43:31.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T21:23:35.000Z,"Wexford, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T21:06:24.000Z,Ireland,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T20:58:56.000Z,On a beautiful little island. ,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T20:08:40.000Z,"Killarney, Co.Kerry ",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:59:23.000Z,"London, England",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:54:33.000Z,Arranmore,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:47:14.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:41:11.000Z,Ireland ,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:39:51.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:34:14.000Z,"Dublin City, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:29:23.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:20:15.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:19:34.000Z,Ireland,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:15:43.000Z,"Dublin City, Ireland",,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:15:32.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:13:40.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:12:26.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:10:46.000Z,,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
2024-11-15T19:09:46.000Z,"Dublin, Ireland",,,,False,"One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from ORG0ORG1; ORG2. Many people are pointing to the housing crisis as a major issue, which the government has no desire to solve. It's time to end DATE0 of ORG3 and [LOCATION]. [URL]"
2024-11-14T16:56:59.000Z,"Rockford, IL",,,,False,[ORGANIZATION] seeks community aid ahead of [ORGANIZATION] Week. [URL]
2024-11-08T01:12:59.000Z,,,,,False,"PERSON0 They've got all that affordable housing, but the downside is it's in [ORGANIZATION]."
2024-10-31T09:15:03.000Z,,,,,False,"Thanks to a system that can ensure homelessness is rare  and brief, [ORGANIZATION], [PERSON] has a sustainable solution to the chronic  homelessness its citizens face."
2024-10-31T09:15:02.000Z,,,,,False,"[ORGANIZATION] uses real-time, by-name data to reach functional zero with homeless population

In [ORGANIZATION], [ORGANIZATION] became the  first community in [PERSON] to end both chronic and veteran  homelessness."
2024-10-12T00:46:34.000Z,Any where USA,,,,False,"[ORGANIZATION]_ This church is in [PERSON], it had been vacant for [ORGANIZATION] and it was used as a soup kitchen for DATE1years after that until a homeless man set it on fire. bythe time the [INSTITUTION] arrived, they had no other choice but to keep it from spreading."
2024-10-05T18:05:14.000Z,Rockford Illinois,,,,False,"[URL]

City of GPE0 Refuses to Acknowledge an Abandoned Homeless Encampment

[URL] 

#[PERSON]scanner #[PERSON] #[PERSON]il #homeless #GPE3 #mayor #rs #news #cleanup #shelter #wtf #fail #corruption #politics #embarrassing"
2024-09-29T17:00:06.000Z,"Rockford, IL",,,,False,"[ORGANIZATION] is the primary provider of assistance to people struggling with challenges like homelessness, poverty, abuse and addiction. [URL]"
2024-09-28T19:00:07.000Z,"Rockford, IL",,,,False,"Country music artist and [PERSON] nominee [ORGANIZATION] brings his [ORGANIZATION] to [ORGANIZATION], donating to [ORGANIZATION] and raising awareness for homelessness. [URL]"
2024-09-22T09:30:15.000Z,,,,,False,"@undrcvrbrothr3 well greedy pple enjoy collecting 🏠s. some cities, like [ORGANIZATION] (see below), have made [DATE] strides. the city's # s are impressive considering the poverty. the weather (dying of exposure is a real threat in [PERSON]), and under-priced housing mrket also means ⬇️ homelessness. [URL]"
2024-09-22T09:07:29.000Z,"Wisconsin, USA",,,,False,"[ORGANIZATION] @KellyScaletta There are some homeless people in [ORGANIZATION], but as far as I can tell, they are refugees from [ORGANIZATION]; GPE2."
2024-09-19T13:42:30.000Z,Book Me,,,,False,"@USArmy can I get some marshal law in [ORGANIZATION]; [PERSON], [ORGANIZATION] , this college is sabotaging my name my housing  my health ,  they [ORGANIZATION]; think about to praising God or think they can say im not working so the police don't have a job to do."
2024-09-12T23:51:40.000Z,"Rockford, IL",,,,True,[PERSON]: The ORG1 team attended the @RockfordHousing All Things Housing Summit DATE0. It was a great opportun…
2024-09-12T22:02:04.000Z,"Rockford, IL",,,,False,"The [ORGANIZATION] team attended the @[ORGANIZATION]Housing [ORGANIZATION]. It was a great opportunity to share the resources that ORG1 offers to [ORGANIZATION]; property owners, &amp; to meet with other organizations offering affordable housing in [ORGANIZATION]. 🏘[PERSON]"
2024-08-27T21:16:32.000Z,"Rockford, Illinois",,,,False,[ORGANIZATION] heatwave puts [ORGANIZATION]’s homeless at risk [URL] [URL]
2024-08-26T21:28:27.000Z,"Rockford, IL",,,,False,FOR IMMEDIATE RELEASE: ALL THINGS AFFORDABLE HOUSING SUMMIT [URL]  #tapin #affordablehousing #rockfordhousing #landlords #residents #rockfordil [ORGANIZATION]
2024-08-21T18:37:00.000Z,"Washington, DC",,,,True,RT @JSpringer_GTA: [ORGANIZATION] needs to get a grip with reality and understand that they are not the center of this state. H…
2024-08-21T18:36:52.000Z,"Washington, DC",,,,True,RT @JSpringer_GTA: My team is going to be investigating the events that led to Mayor [PERSON] declaring a State of Emergency for the City of…
2024-08-21T18:31:05.000Z,"Paleto Bay, San Andreas",,,,False,"[ORGANIZATION] needs to get a grip with reality and understand that they are not the center of this state. [PERSON] is an ongoing issue in [ORGANIZATION], and their claims of a few more tents in the city warranting a state of emergency is abhorrent."
