date,matched_words,Deidentified_paragraph
2024-12-06,unhoused,"And, you know, I also think about those who are unhoused. But is that really a proper working condition for our deputies to be sleeping in trailers in our parking lots? I, I was [ORGANIZATION] coming in to [INSTITUTION] and going through the metal detector, and I looked down at the deputy"
2024-12-06,homeless,"But look at it now. There are homeless people everywhere and law enforcement now, how do they deal with that? In [ORGANIZATION], I'm an old guy."
2024-12-06,homelessness,"Now. And until we can create our own cadre of people to deal with them, we're going to have to figure that out. And an inspector general would be great at being that buffer to be able to get them, to be able to deal with just an arm, just using one instance of something called homelessness."
2024-10-04,unhoused,"There is you know, there is a sense of community. You know, we're not talking about people who are just unhoused and having things. We're talking about people who are having pain, who are our neighbors that we are."
2024-03-01,unhoused,"Um, most of our clients suffer from mental illness or have are grappling with a substance use disorder issue issue. Um, the vast majority of our clients also are unhoused, and all of them are low income. Um, and noting that on the right here in this pie chart and this is something I think, um, is particularly egregious in [ORGANIZATION], but cuts across most counties in [ORGANIZATION], the overrepresentation of communities of color, um, and so about 75% of our clients are people of color and half of our clients are black, even though the black population makes up about 6% of [ORGANIZATION]."
2024-03-01,unhoused,"He was shot five times by [ORGANIZATION] when he was in mental health crisis. He was charged with resisting arrest, threatening an officer and carrying a knife. Um, and luckily, we were able to get the case dismissed before having to go to trial and noting the headlines here, the theme are are people who are unhoused being involved in the criminal system and how that is actually be, um, a kind of important fact to pair with that is that unhoused people are more likely to be victims of crime than they are to perpetrate crime, but they are much more likely to be criminalized and to be incarcerated."
2024-03-01,unhoused,"Um, you know, it's a prime piece of land, twin peaks. I'd like it to be a safe space for kids to go after school, to study, to have a safe, to have a nutritious meal, some kids never see another meal once they leave school or, you know, they or they're unhoused."
2024-02-14,homelessness,"I am the new [ORGANIZATION] inspector general heading the offiof the inspector general, and as it was stated I'm here to present our proposed [ORGANIZATION] budget and I will start with telling you a little about [ORGANIZATION]. Basically, [ORGANIZATION] voters passed proposition d in [ORGANIZATION] establishing the [ORGANIZATION] first sheriff department oversight board, and that board proceeded to create the office of the inspector general and the whole purpose of the inspector general's office is provide independent oversight of the sheriff office. We have been assigned the government code or department code, sda to [ORGANIZATION]. The ORG2, roles and responsibilities are defined and [ORGANIZATION] charter section 4.137. then our oversight board appointed myself, [ORGANIZATION] as inspector general and on [LOCATION] we had a very beautiful administration of the oath by the legendary former mayor [PERSON] and [PERSON] which was created for oversight of the [ORGANIZATION] [INSTITUTION] continues to provide support of the ORG2 operation and assisting us with our independent investigations basically until we are fully staffed and up and running. Now, our role and responsibilities. We conduct the investigations of complaints filed against [ORGANIZATION] sheriff office employees and that includes the deputy sheriffs and their civilian employees and any third party contractors that they contract with. We also handle the investigations of any individual who dies while in the custody of the sheriff department. Additionally, once we conduct our investigations we also recommend disciplinary action to the sheriff. In terms of policies, what we are really looking to do is assist the sheriff department. We are also assisting with the development and recommending use of force policies for the sheriff department. We also look at the writing-reporting and auditing so we track and report on investigations, recommendations and outcomes and we monitor the sheriff office operations to insure compliance with the laws and policies. and we also conduct hearings. Most of those hearings roget right now are conducted by the oversight board but we have there authority to issue subpoena, administer oath, and take testimony. Now, our budget priorities. Well, our budget priorities are to recruit, hire, onboard and train staff because we are a new agency and so this is going to be one of our primary purposes getting the agency up and running. We also are tasked with developing policies and procedures, requesting positions to meet our charter mandate. And what do we need? We need investigators to investigate our sheriff office cases. We also need a senior investigator to investigate review investigations and manage the sheriff department cases. Basically the senior investigator will supervise the investigators that are conducting the individual investigations. We have a assistant chief attorney who's really responsible for helping process public records requests to review and support investigations before they come to my desk, draft agreements and just assist with the overall running of the office of the inspector general. And of course we have a executive secretary that in addition to many roles also processes payroll and purchasing and provide administrative support. what is the proposed budget for the [ORGANIZATION] budget? We are here [ORGANIZATION] to present that at this public meeting. When looking at the budget we first wanted to look at the mayor's budget instructions and so what is the primary focus of the mayor's budget for [PERSON] and one is to improve public safety and the [STREET] conditions of [ORGANIZATION]. To promote city wide economic vitality and that goes hand in hand with public safety and [STREET] conditions. Reduce homelessness and transform mental health services. Mental health service delivery and just increasing the overall accountability, equity and spending of the budget. Now, this last section is very important because we are in [PERSON], and so all departments of [ORGANIZATION] are being asked to reduce their general fund support by 10% and through [ORGANIZATION]-through [LOCATION], DATE8, with also a possible additional 5% contingency you [DATE] be asked to reduce your budget so we could be looking at most departments a 15% budget reduction. With that in mind and being a new agency, we understood is we will probably given the difficult budget cycle that we are in, we are going to have to do a phased growth of [ORGANIZATION], so instead of asking for everything that we need to be an agency up and running, we understand we will have to phase the growth of our agency. Right now we are-we looked at what is the basic amount of funding we need to get up and running? We propose 2 mill $22.163.632. We feel that request allows to bring in the number of employees to get up and running independently as a agency. Because we are being asked to take a 10% cut, that cut is reflected in the $353.080 will amount to the cut we are taking out of our budget, which would leave at the proposed $2.163.632. Now, for the number of employees, our basic proposed budget we have 13 employees, and with the 10% cut, we would lose one of those employees so it would leave us at 12 employees under the current request for funding. And so what does that 10% look like? I told we would lose one employee that would be a investigator and also our non personal service amount to about $40 thousand leaving total of $221 thousand that reflect in the 10% reduction. We also have work orders because we are not able to fully-we are not fully funded at this point because we are a new agency,b then we have to rely on [LOCATION] to support our agency-excuse me, [ORGANIZATION] to support our agency with technology that will come in the form of about $62 thousand. We also would need accounting service from the [ORGANIZATION] controller's office, $53 thousand and investigative and administrative support, $480 thousand, and because we don't have our own in-house hr department, the county is providing us the hr rep and that will amount to $147 thousand. Now, what is the-our proposed budget is where we are requesting the funding, but we understand we had to pull back in [ORGANIZATION]. We are proposing that we are not asking for any increases in materials and supplies. We are not asking for any increases in non-personnel services. And not asking for any increases in salaries and benefits. We are really trying to work within the scope of understanding that we are in a difficult budget time, but at the same time, asking for the minimum of what we need to get our agency up and running and as a result we'll be relying heavily on the [ORGANIZATION] to support us and that will be in the form of $747 thousand. That will allow us to operate as the office of the inspector general. What are the impact of the reductions? Because we are not able to be a fully operational agency at this point given the budget constrictions, what is the impact of those reductions? Well, the original budget did not include funds for central personnel and infrastructure to meet the charter mandates, so these reductions will extend our reliance on borrowed support from the [ORGANIZATION], it will delay our ability to become fully operations and impair our ability to meet our core requirements laid out by the charter, 4.137. And it will also prevent our office from adding services for the community. And with that, if there are any questions, I'm very open to answering questions or ts anyone [DATE] have. And if there are no questions and comment, I appreciate everybody who tuned into watch the presentation, and I believe that's it."
2024-02-02,homeless,"By giving our homeless people or adults needles and everything like we're supposed to do preventative work, not make it worse. Worse? Like my clients have used the billie holiday services."
2024-01-05,unhoused,"yes, I will say, there are cases where people just aren't satisfied, and what they're really not satisfied about is there is nothing that can really be done. These are complaints that are valid, it's frustrated, it's not that the officer did anything wrong. For example, we have immediate ated a number of cases that have unhoused population. And some feeling frustrated about calling the police and unhoused folks are still there, something like that. It's more complicated so we can talk about that in the mediation but ultimately is the encampment outside of somebody's house gone at the end? No, it's not. So there have been cased like that where people are frustrated that the underlying issue is not resolved and sometimes those are larger policy issues that volve a lot of other agencies as well. That has been the case in many situations with the 7%. Otherwise, we can remember one scenario where the complaintant did not feel like the officer was, just didn't really feel the officer, not that he did do anything, but she didn't connect with him and she didn't feel like he was owning up to what he had done, that's rare but that's an example of something that happened."
2023-07-07,homeless,for the review. Yes we would. Upon public comment for item 3. Lineup or call the number and use the code on the screen. To me it does not make sense the people don't make sense what so ever. I think that was clear I listened. Does not make sense to me. You know when I'm saying it is clear as day to me it does not make sense I don't hear anything. I don't see or hear anything. What were the guys talking for [TIME] system jib are jabber that's when it is. Utter jib are jabber. He shot a guy in the badge he is hiding. What I want to tell you is why are you wasting people's time. Time why are you wasting time you are a prosecutor. I don't know you throw this information in the air somebody cares nobody cares here. What are you going to prosecute somebody for speak. What I want to tell you is there is stuff going on it ain't good whatever. I have been [ORGANIZATION] here in the elements I'm a homeless man and don't make sense to me at all
2023-07-07,unhoused,"if someone is having aing mental health and drug crisis and unhoused, what, what does this electric like to somebody? I think the public hears I want them to understand when how they can really access that. If --"
2023-02-03,homelessness,"the mayor's budget instructions recovery of local economy with focus on downtown and economic core. Improving public safety and [STREET] conscience. [PERSON] homelessness and transforming mental health service delivery. Accountability and equity in services in spending. Will achieve reductions through [ORGANIZATION]. The budget reflects budget of 1 147 thousand dollars for [ORGANIZATION]. Indicated on the previous slide. Describing positions the positions are needed in addition to the budgeted positions in order to provide necessary service to the community. Include being out reach, public information campaigns and increase accessibility. Meet charter man dates, investigate complaints, conduct hearings. Analyze data. Make policy recommendations. Perform audits. Of comply with department upon obligation. Public record's request. Report on the work. Prepare and advocate for the budget. And function as a department figure technology and supplies. Staff front desk field calls and e mills. We will [ORGANIZATION] to the learningest technology cost. Case management provide a cost savings to [LOCATION] when the funds needed for new staff [PERSON]. Infrastructure like computers. Conference room tech nochlg tv's web ex, phones and conference systems. These represent estimated on going expenses for the departments include licensing for sales base case misdemeanoring simples software. Cloud based storage and subscriptions. Estimates don't have additional prescriptions for service not obtained yet like evidence. Comfor cameras on native platform or performing online research. As discussed they near estimated for interdepartmental support. Not costs. Final costs for [ORGANIZATION] will not be determined [ORGANIZATION] I don't remember all city departments rely on others for support. The service providing diameters bill accordingly the costs will change subject to needs and how quickly the staff are on boarded, trin exclude operational to be able to take over work that relies on resource fist another department. We expect that cost for staffing and resources will decrease with the now departments ability to perform the work in house with staff members. If additional approximate suspicions are, proved this will increase. Training will have the most importance and highest costs [PERSON] with the new staff on boarded and trains. Tlaning is on line tuition can have thes we welcome suggestions and comments on this. This is upon tended for public comment and ideas. Impact of reduction. The original budget includes funds for personnel and infrastructure to mead mandates. Further reduction will extend the reliance on borrowed support and resource. Delay the ability to become operational. And impier pair to meet core requirements. Prevent from services from the community. This is the end of the presentation are there questions or know comments?"
2022-08-22,affordable housing,"thank you. PERSON0. PERSON1. I'm the executive director of : Â  Focused on work force development, education services as well as the designing and building of affordable housing, so I have been in [ORGANIZATION] over [ORGANIZATION] and had the opportunity to serve some of the most underserved communities in [ORGANIZATION]. Most notably on [ORGANIZATION] where I served [LOCATION] under the controller and most recent PERSON2 the [ORGANIZATION] police commissioner who served as liaison. A natural fit. I want to say thank you to the sheriff department coalescing and pulling us together. Chief has done a phenomenal job communicating with all of us and PERSON3. Looking forward what we can do together. I want to bring a community voice as we serve a lot of individuals just involved and continue to do soio want to continue to figure how to bridge the gap between what sogoing on in the jails and in the communities so we can all continue to live here together side by side."
